,RoofStyle,HouseStyle,OverallCond,YearBuilt,YearRemodAdd,FullBath,Heating,Fireplaces,GarageArea,PoolArea,SaleCondition,Street,Neighborhood,SalePrice
57,Gable,2Story,5,2004,2004,2,GasA,0,565,0,Normal,Pave,CollgCr,196500
58,Hip,2Story,5,2006,2006,3,GasA,1,641,0,Partial,Pave,StoneBr,438780
59,Gable,1Story,7,1972,1972,1,GasA,0,352,0,Normal,Pave,CollgCr,124900
60,Gable,1Story,5,2004,2004,1,GasA,0,576,0,Partial,Pave,SawyerW,158000
61,Gable,2.5Unf,7,1920,1996,1,GasA,0,288,0,Normal,Pave,IDOTRR,101000
62,Gable,1Story,5,2006,2006,2,GasA,1,484,0,Normal,Pave,NridgHt,202500
63,Gable,2Story,6,1921,1950,2,GasA,0,480,0,Normal,Pave,OldTown,140000
64,Gable,2Story,5,1997,1998,2,GasA,0,645,0,Normal,Pave,CollgCr,219500
65,Gable,2Story,5,2004,2005,2,GasA,1,852,0,Normal,Pave,NridgHt,317000
66,Gable,1Story,5,1970,1989,2,GasA,1,576,0,Normal,Pave,NAmes,180000
67,Gable,1Story,5,2003,2003,2,GasA,0,558,0,Normal,Pave,CollgCr,226000
68,Gable,1Story,6,1945,1950,1,GasA,0,220,0,Normal,Pave,OldTown,80000
69,Gable,1.5Fin,4,1953,1953,2,GasW,1,667,0,Normal,Pave,ClearCr,225000
70,Gable,1Story,6,1973,1973,2,GasA,2,516,0,Normal,Pave,NAmes,244000
71,Gable,1Story,6,1982,2006,1,GasA,0,360,0,Normal,Pave,Mitchel,129500
72,Gable,2Story,5,1998,1998,2,GasA,1,427,0,Normal,Pave,Gilbert,185000
73,Gable,1Story,7,1954,2003,1,GasA,0,490,0,Normal,Pave,NAmes,144900
74,Gambrel,2Story,6,1915,1950,2,GasA,0,379,0,Normal,Pave,OldTown,107400
75,Gable,SLvl,5,1973,1973,1,GasA,0,297,0,Normal,Pave,MeadowV,91000
76,Gable,1Story,7,1956,1956,1,GasA,0,283,0,Normal,Pave,NAmes,135750
77,Gable,1.5Fin,5,1948,2001,1,GasA,0,240,0,Normal,Pave,BrkSide,127000
78,Hip,1Story,5,1968,1968,2,GasA,0,0,0,Normal,Pave,Sawyer,136500
79,Gable,2Story,6,1910,1981,1,GasA,0,440,0,Normal,Pave,OldTown,110000
80,Gable,2Story,6,1968,1968,2,GasA,1,509,0,Normal,Pave,NAmes,193500
81,Hip,1Story,5,1998,1998,2,GasA,0,405,0,Normal,Pave,Mitchel,153500
82,Gable,1Story,5,2007,2007,2,GasA,1,758,0,Normal,Pave,Somerst,245000
83,Gable,1Story,5,1960,1960,1,GasA,0,461,0,Normal,Pave,NAmes,126500
84,Gable,SLvl,5,1995,1996,2,GasA,1,400,0,Normal,Pave,Gilbert,168500
85,Hip,2Story,5,1991,1992,2,GasA,1,462,0,Normal,Pave,NoRidge,260000
86,Gable,2Story,5,2005,2005,2,GasA,1,400,0,Normal,Pave,Gilbert,174000
87,Gable,2Story,5,2009,2009,2,GasA,0,528,0,Partial,Pave,Somerst,164500
88,Hip,1.5Fin,2,1915,1982,1,GasA,0,0,0,Abnorml,Pave,IDOTRR,85000
89,Gable,1Story,5,1994,1995,1,GasA,0,0,0,Normal,Pave,CollgCr,123600
90,Gable,1Story,5,1950,1950,1,GasA,0,420,0,Normal,Pave,NAmes,109900
91,Hip,1Story,3,1961,1961,1,GasA,0,480,0,Abnorml,Pave,NAmes,98600
92,Gable,1Story,7,1921,2006,1,GasA,0,432,0,Normal,Pave,Crawfor,163500
93,Hip,2.5Unf,6,1910,1998,2,GasW,1,506,0,Normal,Pave,OldTown,133900
94,Gable,2Story,5,1997,1997,2,GasA,0,684,0,Normal,Pave,CollgCr,204750
95,Gable,2Story,8,1993,1993,2,GasA,1,420,0,Normal,Pave,Gilbert,185000
96,Gable,1Story,5,1999,1999,2,GasA,0,472,0,Normal,Pave,CollgCr,214000
97,Hip,1Story,5,1965,1965,1,GasA,0,432,0,Normal,Pave,Edwards,94750
98,Gable,1Story,5,1920,1950,1,GasA,0,366,0,Abnorml,Pave,Edwards,83000
99,Gable,1Story,5,1959,1959,1,GasA,0,0,0,Normal,Pave,NAmes,128950
100,Gable,1Story,7,1977,2001,2,GasA,2,480,0,Normal,Pave,NWAmes,205000
101,Gable,2Story,5,1985,1985,2,GasA,1,476,0,Normal,Pave,SawyerW,178000
102,Gable,1Story,5,1979,1979,2,GasA,0,410,0,Alloca,Pave,SawyerW,118964
103,Gable,1Story,5,2009,2009,2,GasA,0,740,0,Normal,Pave,CollgCr,198900
104,Gable,1.5Fin,4,1931,1950,1,GasA,2,240,0,Normal,Pave,IDOTRR,169500
105,Hip,2Story,5,2003,2004,2,GasA,1,648,0,Normal,Pave,Somerst,250000
106,Mansard,1Story,7,1885,1995,1,GasA,0,273,0,Normal,Pave,OldTown,100000
107,Gable,1Story,5,1948,1950,1,GasA,0,250,0,Partial,Pave,OldTown,115000
108,Gable,1.5Fin,7,1919,2005,2,GasW,0,0,0,Normal,Pave,IDOTRR,115000
109,Hip,1Story,6,1977,1977,2,GasA,1,546,0,Normal,Pave,NWAmes,190000
110,Gable,1.5Fin,4,1954,1972,2,GasA,0,325,0,Normal,Pave,Edwards,136900
111,Gable,SLvl,5,2000,2000,2,GasA,1,400,0,Normal,Pave,Gilbert,180000
112,Gable,2Story,5,2007,2007,2,GasA,1,792,0,Partial,Pave,CollgCr,383970
113,Hip,1Story,5,1953,1953,2,GasA,2,450,0,Abnorml,Pave,Crawfor,217000
114,Gambrel,2Story,8,1945,2002,2,GasA,1,180,0,Normal,Pave,Crawfor,259500
115,Gable,2Story,5,1999,1999,2,GasA,1,440,0,Normal,Pave,Somerst,176000
116,Gable,1Story,5,1962,1962,1,GasA,1,288,0,Normal,Pave,Sawyer,139000
117,Gable,1Story,5,2006,2007,1,GasA,0,430,0,Partial,Pave,Edwards,155000
118,Hip,2Story,5,1990,1990,3,GasA,2,594,0,Normal,Pave,SawyerW,320000
119,Gable,2Story,5,2005,2006,2,GasA,1,390,0,Partial,Pave,CollgCr,163990
120,Flat,SLvl,5,1969,1969,1,GasA,2,540,0,Normal,Pave,ClearCr,180000
121,Gable,1.5Fin,5,1939,1950,1,GasA,0,264,0,Normal,Pave,IDOTRR,100000
122,Hip,1Story,7,1958,1958,1,GasA,0,288,0,Normal,Pave,NAmes,136000
123,Gable,1Story,5,1993,1993,2,GasA,0,530,0,Normal,Pave,SawyerW,153900
124,Gable,1Story,5,1979,1998,2,GasA,1,435,0,Normal,Pave,NWAmes,181000
125,Gable,1.5Fin,8,1935,1982,1,GasA,0,0,0,Normal,Pave,IDOTRR,84500
126,Gable,1Story,5,1976,1976,2,GasA,1,440,0,Normal,Pave,NPkVill,128000
127,Gable,1.5Unf,7,1930,1950,1,GasA,1,0,0,Normal,Pave,OldTown,87000
128,Gable,2Story,5,1966,1966,1,GasA,1,453,0,Normal,Pave,NAmes,155000
129,Gable,1Story,7,1958,1991,1,GasA,0,750,0,Abnorml,Pave,NAmes,150000
130,Gable,2Story,6,1966,1966,2,GasA,2,487,0,Normal,Pave,NAmes,226000
131,Gable,2Story,5,2000,2000,2,GasA,1,390,0,Normal,Pave,Gilbert,244000
132,Gable,1Story,6,1959,2002,1,GasA,0,624,0,Normal,Pave,NAmes,150750
133,Gable,1Story,5,2001,2002,2,GasA,0,471,0,Normal,Pave,Timber,220000
134,Gable,1Story,6,1968,1993,2,GasA,1,440,0,Normal,Pave,Sawyer,180000
135,Hip,1Story,6,1970,1970,2,GasA,1,530,0,Normal,Pave,NWAmes,174000
136,Gable,1Story,5,1967,1967,2,GasA,1,318,0,Normal,Pave,NAmes,143000
137,Gable,1Story,5,1988,1989,3,GasA,0,766,0,Family,Pave,Mitchel,171000
138,Gable,2Story,5,1999,2000,2,GasA,2,660,0,Normal,Pave,CollgCr,230000
139,Gable,2Story,5,1997,1997,2,GasA,0,470,0,Normal,Pave,CollgCr,231500
140,Gable,1Story,5,1971,1971,1,GasA,1,0,0,Normal,Pave,NAmes,115000
141,Gable,1Story,5,2005,2005,2,GasA,0,660,0,Normal,Pave,CollgCr,260000
142,Gable,1.5Fin,4,1952,1952,2,GasA,0,720,0,Normal,Pave,NAmes,166000
143,Gable,1Story,5,1999,1999,2,GasA,0,577,0,Normal,Pave,CollgCr,204000
144,Gable,1Story,5,1963,1963,2,GasA,0,504,0,Abnorml,Pave,Sawyer,125000
145,Gable,2Story,5,2004,2006,2,GasA,0,380,0,Normal,Pave,Edwards,130000
146,Gable,1Story,7,1931,1993,1,GasA,0,180,0,Normal,Pave,BrkSide,105000
147,Gable,2Story,5,2001,2001,2,GasA,1,434,0,Normal,Pave,Gilbert,222500
148,Gable,1Story,5,2004,2005,1,GasA,0,0,0,Normal,Pave,SawyerW,141000
149,Gable,1.5Fin,4,1936,1950,1,GasA,0,240,0,Normal,Pave,BrkSide,115000
150,Gable,1Story,6,1975,1975,1,GasA,0,440,0,Normal,Pave,CollgCr,122000
151,Hip,1Story,5,2007,2008,2,GasA,1,866,0,Partial,Pave,NridgHt,372402
152,Gable,2Story,5,1971,1971,2,GasA,1,495,0,Normal,Pave,NWAmes,190000
153,Flat,1Story,7,1960,1975,1,GasA,1,564,0,Normal,Pave,ClearCr,235000
154,Gable,1Story,5,1923,1950,1,GasA,0,312,0,Family,Pave,OldTown,125000
155,Gable,1.5Fin,5,1924,1950,1,Grav,0,0,0,Normal,Pave,Edwards,79000
156,Hip,1Story,7,1950,1950,1,GasA,0,625,0,Normal,Pave,NAmes,109500
157,Gable,2Story,5,2009,2010,2,GasA,1,680,0,Partial,Pave,Timber,269500
158,Gable,2Story,5,2004,2005,2,GasA,1,678,0,Normal,Pave,Somerst,254900
159,Gable,2Story,5,2005,2006,2,GasA,1,576,0,Partial,Pave,Gilbert,320000
160,Gable,1Story,6,1984,1984,2,GasA,0,516,0,Normal,Pave,Veenker,162500
161,Gable,2Story,5,2003,2004,2,GasA,2,726,0,Normal,Pave,NridgHt,412500
162,Gable,1Story,5,2005,2005,2,GasA,1,532,0,Partial,Pave,NridgHt,220000
163,Gable,1.5Unf,6,1956,1956,1,GasA,0,0,0,Normal,Pave,OldTown,103200
164,Gable,1Story,7,1926,2004,2,GasA,0,216,0,Normal,Pave,OldTown,152000
165,Gable,1.5Fin,7,1940,1999,2,GasA,0,0,0,Normal,Pave,Edwards,127500
166,Hip,1Story,5,1955,1993,1,GasA,3,303,0,Normal,Pave,ClearCr,190000
167,Gable,2Story,5,2007,2007,1,GasA,1,789,0,Partial,Pave,NridgHt,325624
168,Gable,2Story,5,2004,2004,2,GasA,1,440,0,Normal,Pave,Gilbert,183500
169,Hip,1Story,6,1981,1981,2,GasA,1,511,0,Normal,Pave,Timber,228000
170,Gable,1.5Fin,6,1941,1950,1,GasA,0,660,0,Normal,Pave,OldTown,128500
171,Hip,1Story,5,1960,1960,1,GasA,2,528,0,Normal,Pave,NAmes,215000
172,Gable,2Story,7,1987,1987,2,GasA,1,504,0,Normal,Pave,StoneBr,239000
173,Gable,1Story,5,1961,1961,1,GasA,1,504,0,Normal,Pave,NAmes,163000
174,Gable,1Story,5,1986,1986,2,GasA,1,616,0,Normal,Pave,Timber,184000
175,Gable,1Story,7,1950,2001,2,GasA,1,576,0,Normal,Pave,Edwards,243000
176,Gable,2Story,5,1988,1989,2,GasA,1,521,0,Normal,Pave,ClearCr,211000
177,Gable,1.5Fin,5,1958,1958,2,GasA,1,451,0,Normal,Pave,Sawyer,172500
178,Hip,1Story,5,2008,2009,2,GasA,1,1166,0,Partial,Pave,StoneBr,501837
179,Gable,1Story,6,1923,2006,1,GasA,0,480,0,Normal,Pave,OldTown,100000
180,Gable,2Story,5,2000,2000,2,GasA,1,440,0,Normal,Pave,Somerst,177000
181,Gable,2Story,6,1920,1950,1,GasA,1,216,0,Normal,Pave,Crawfor,200100
182,Hip,1Story,6,1957,2006,1,GasA,1,252,0,Normal,Pave,Edwards,120000
183,Gable,1.5Fin,5,2003,2003,2,GasA,0,484,0,Normal,Pave,OldTown,200000
184,Gable,1.5Fin,8,1908,1991,1,GasA,0,576,0,Normal,Pave,BrkSide,127000
185,Gable,2.5Fin,9,1892,1993,2,GasA,2,840,0,Normal,Pave,OldTown,475000
186,Gable,SLvl,5,1990,1991,2,GasA,0,497,0,Normal,Pave,Mitchel,173000
187,Gable,1.5Fin,7,1916,1987,2,GasA,0,180,0,Normal,Pave,OldTown,135000
188,Gable,SFoyer,5,1979,1979,0,GasA,2,528,0,Alloca,Pave,SawyerW,153337
189,Gable,1Story,5,2001,2002,1,GasA,1,682,0,Normal,Pave,StoneBr,286000
190,Hip,2Story,8,1932,1994,2,GasA,2,440,0,Normal,Pave,Crawfor,315000
191,Gable,2Story,9,1972,2004,1,GasA,0,484,0,Normal,Pave,NAmes,184000
192,Gable,1Story,5,1999,1999,2,GasA,0,666,0,Normal,Pave,CollgCr,192000
193,Gable,2Story,5,2004,2004,2,GasA,0,380,0,Normal,Pave,Edwards,130000
194,Hip,1Story,7,1972,1972,1,GasA,0,352,0,Normal,Pave,CollgCr,127000
195,Gable,2Story,6,1976,1976,2,GasA,1,440,0,Normal,Pave,NPkVill,148500
196,Hip,1Story,5,2007,2007,2,GasA,1,786,0,Partial,Pave,Somerst,311872
197,Gable,2Story,4,1918,1990,2,GasA,1,795,512,Abnorml,Pave,NAmes,235000
198,Gable,2.5Fin,6,1912,1950,1,GasA,0,0,0,Abnorml,Pave,OldTown,104000
199,Hip,1Story,5,2004,2005,2,GasA,1,856,0,Normal,Pave,NridgHt,274900
200,Gable,1Story,5,2003,2004,2,GasA,0,440,0,Normal,Pave,Edwards,140000
201,Gable,1Story,6,1977,1977,2,GasA,2,473,0,Normal,Pave,Mitchel,171500
202,Gable,1.5Fin,6,1924,1950,2,GasA,0,398,0,Normal,Pave,OldTown,112000
203,Gable,1Story,5,2004,2004,1,GasA,1,420,0,Normal,Pave,CollgCr,149000
204,Gable,1.5Fin,7,1947,1950,1,GasA,0,240,0,Normal,Pave,OldTown,110000
205,Gable,1Story,5,1990,1990,2,GasA,0,500,0,Normal,Pave,Gilbert,180500
206,Gable,1Story,5,1962,1962,1,GasA,1,349,0,Normal,Pave,Sawyer,143900
207,Gable,1Story,5,1960,1960,1,GasA,1,312,0,Normal,Pave,NAmes,141000
208,Gable,2Story,5,1988,1989,2,GasA,1,454,0,Normal,Pave,SawyerW,277000
209,Hip,1Story,7,1964,1964,1,GasA,0,504,0,Normal,Pave,NAmes,145000
210,Gable,1Story,6,1925,1950,1,GasA,0,0,0,Normal,Pave,Edwards,98000
211,Gable,1Story,5,2009,2009,2,GasA,0,460,0,Normal,Pave,Edwards,186000
212,Gable,2Story,5,2009,2009,2,GasA,1,644,0,Partial,Pave,Somerst,252678
213,Gable,1Story,5,1995,1995,1,GasA,0,576,0,Normal,Pave,CollgCr,156000
214,Gable,2Story,7,1977,1977,1,GasA,0,299,0,Normal,Pave,CollgCr,161750
215,Gable,1Story,6,1957,1996,1,GasA,1,447,0,Normal,Pave,NAmes,134450
216,Gable,1Story,5,2004,2004,2,GasA,0,484,0,Normal,Pave,CollgCr,210000
217,Gable,2Story,4,1925,1950,1,GasA,0,210,0,Family,Pave,OldTown,107000
218,Gable,1.5Fin,9,1939,2006,1,GasA,2,431,0,Normal,Pave,Crawfor,311500
219,Gable,1Story,5,2005,2006,2,GasA,0,438,0,Partial,Pave,Blmngtn,167240
220,Gable,1Story,5,2006,2006,2,GasA,0,675,0,Partial,Pave,CollgCr,204900
221,Gable,2Story,5,2002,2002,2,GasA,1,390,0,Normal,Pave,Gilbert,200000
222,Gable,2Story,6,1975,1975,2,GasA,1,434,0,Normal,Pave,NWAmes,179900
223,Gable,1Story,6,1971,1971,1,GasA,0,576,0,Abnorml,Pave,NAmes,97000
224,Hip,1Story,5,2003,2003,2,GasA,1,968,0,Normal,Pave,NridgHt,386250
225,Gable,2Story,5,1971,1971,2,GasA,0,280,0,Abnorml,Pave,BrDale,112000
226,Gable,2Story,5,1995,1995,2,GasA,1,721,0,Abnorml,Pave,NoRidge,290000
227,Gable,2Story,6,1970,1970,1,GasA,0,280,0,Normal,Pave,BrDale,106000
228,Gable,1Story,5,1967,1967,1,GasA,1,336,0,Normal,Pave,Sawyer,125000
229,Gable,1Story,5,2005,2006,2,GasA,1,430,0,Normal,Pave,Blmngtn,192500
230,Hip,1Story,6,1959,1959,1,GasA,0,312,0,Normal,Pave,NAmes,148000
231,Gable,2Story,5,1995,1996,2,GasA,1,810,0,Normal,Pave,NoRidge,403000
232,Gable,2Story,5,1972,1972,1,GasA,1,288,0,Normal,Pave,BrDale,94500
233,Gable,1Story,6,1976,1976,1,GasA,0,308,0,Normal,Pave,CollgCr,128200
234,Gable,2Story,5,2002,2002,2,GasA,2,440,0,Normal,Pave,Gilbert,216500
235,Gable,2Story,3,1971,1971,1,GasA,0,264,0,Normal,Pave,BrDale,89500
236,Gable,1Story,5,2004,2004,2,GasA,0,494,0,Normal,Pave,CollgCr,185500
237,Gable,2Story,7,1993,2003,2,GasA,0,457,0,Normal,Pave,SawyerW,194500
238,Hip,1Story,5,2007,2007,2,GasA,0,818,0,Partial,Pave,NridgHt,318000
239,Gable,1.5Fin,4,1945,1950,1,GasA,1,220,0,Normal,Pave,Edwards,113000
240,Gable,1Story,5,2008,2008,2,GasA,0,750,0,Normal,Pave,Somerst,262500
241,Gable,1Story,9,1945,1997,1,GasA,0,0,0,Normal,Pave,OldTown,110500
242,Gable,1.5Fin,4,1900,1950,1,GasA,0,352,0,Normal,Pave,OldTown,79000
243,Gable,2Story,6,1980,1980,1,GasA,1,288,0,Normal,Pave,SawyerW,120000
244,Gable,2Story,5,1994,2002,2,GasA,2,463,0,Normal,Pave,SawyerW,205000
245,Gable,1Story,5,1988,1988,2,GasA,1,604,0,Normal,Pave,NWAmes,241500
246,Gable,2Story,8,1910,1950,2,GasA,0,440,0,Normal,Pave,OldTown,137000
247,Hip,1Story,5,1954,1954,1,GasA,1,451,0,Normal,Pave,NAmes,140000
248,Gable,2Story,5,2003,2003,2,GasA,0,500,0,Normal,Pave,CollgCr,180000
249,Gable,1.5Fin,7,1958,2006,2,GasA,2,389,0,Normal,Pave,ClearCr,277000
250,Gable,1Story,2,1940,1966,1,GasA,0,0,0,Normal,Pave,BrkSide,76500
251,Hip,1Story,5,2006,2007,2,GasA,1,538,0,Family,Pave,Crawfor,235000
252,Gable,2Story,5,2004,2004,2,GasA,0,520,0,Normal,Pave,SawyerW,173000
253,Hip,SLvl,7,1964,1991,2,GasA,0,309,0,Normal,Pave,NAmes,158000
254,Gable,1Story,6,1957,1957,1,GasA,0,294,0,Normal,Pave,NAmes,145000
255,Gable,2Story,5,1999,1999,2,GasA,1,429,0,Normal,Pave,Gilbert,230000
256,Gable,2Story,5,2003,2003,2,GasA,0,673,0,Normal,Pave,Somerst,207500
257,Gable,1Story,5,2006,2006,2,GasA,1,660,0,Abnorml,Pave,CollgCr,220000
258,Gable,2Story,5,2001,2001,2,GasA,1,564,0,Normal,Pave,CollgCr,231500
259,Gable,1Story,5,1956,1956,1,GasA,0,308,0,Normal,Pave,OldTown,97000
260,Gable,SLvl,5,1962,1962,1,GasA,1,884,0,Normal,Pave,NAmes,176000
261,Gable,2Story,5,2007,2007,2,GasA,1,868,0,Partial,Pave,CollgCr,276000
262,Gable,SLvl,7,1977,1995,1,GasA,1,492,0,Normal,Pave,Sawyer,151000
263,Gable,1.5Fin,7,1929,2001,1,GasA,0,484,0,Normal,Pave,OldTown,130000
264,Gable,1Story,5,1925,2004,1,GasA,0,504,0,Normal,Pave,OldTown,73000
265,Gable,1Story,6,1981,1981,2,GasA,1,576,0,Normal,Pave,NWAmes,175500
266,Gable,2Story,5,1997,1997,2,GasA,1,413,0,Normal,Pave,Gilbert,185000
267,Gable,2.5Fin,8,1939,1997,2,GasA,1,240,0,Normal,Pave,SWISU,179500
268,Gable,1Story,6,1940,1955,1,GasA,1,924,0,Normal,Pave,IDOTRR,120500
269,Hip,1Story,7,1976,1976,1,GasA,1,504,0,Normal,Pave,Edwards,148000
270,Gable,2Story,5,2006,2006,2,GasA,1,1053,0,Partial,Pave,Somerst,266000
271,Flat,1Story,7,1954,2005,1,GasA,2,439,0,Normal,Pave,ClearCr,241500
272,Gable,2Story,7,1999,2007,2,GasA,1,671,0,Normal,Pave,NoRidge,290000
273,Hip,1Story,6,1958,1988,2,GasA,1,338,0,Normal,Pave,NAmes,139000
274,Gable,1Story,7,1982,1982,1,GasA,0,264,0,Normal,Pave,Mitchel,124500
275,Gable,1.5Fin,7,1925,2007,2,GasW,0,672,0,Normal,Pave,BrkSide,205000
276,Gable,1Story,5,2003,2003,2,GasA,0,573,0,Normal,Pave,Mitchel,201000
277,Gable,1Story,5,1951,1951,1,GasA,0,400,0,Normal,Pave,Gilbert,141000
278,Gable,1Story,5,2006,2007,2,GasA,1,732,0,Partial,Pave,NridgHt,415298
279,Hip,2Story,5,1977,1977,2,GasA,1,505,0,Normal,Pave,ClearCr,192000
280,Gable,2Story,6,1989,1989,2,GasA,1,575,0,Normal,Pave,SawyerW,228500
281,Gable,1Story,5,2006,2006,2,GasA,0,572,0,Partial,Pave,Somerst,185000
282,Gable,1Story,5,2007,2008,2,GasA,1,626,0,Normal,Pave,NridgHt,207500
283,Gable,1Story,5,2008,2009,2,GasA,1,898,0,Partial,Pave,Somerst,244600
284,Gable,1Story,5,1992,1992,2,GasA,0,529,0,Normal,Pave,SawyerW,179200
285,Gable,2Story,5,2006,2007,2,GasA,0,528,0,Partial,Pave,Somerst,164700
286,Gable,1.5Fin,7,1962,1981,1,GasA,1,440,0,Normal,Pave,NAmes,159000
287,Gable,1Story,4,1971,1971,1,GasA,0,0,0,Normal,Pave,NAmes,88000
288,Gable,1Story,5,1967,1967,1,GasA,0,280,0,Normal,Pave,Sawyer,122000
289,Gable,2Story,7,1915,2003,1,GasA,0,384,0,Normal,Pave,BrkSide,153575
290,Gable,2Story,5,2006,2006,2,GasA,1,685,0,Partial,Pave,CollgCr,233230
291,Gable,2Story,6,1912,2000,2,GasA,0,0,0,Normal,Pave,SWISU,135900
